2011-05-11 12:39:04,446 [DEBUG] django.db.backends: (3.000) SELECT "django_session"."session_key", "django_session"."session_data", "django_session"."expire_date" FROM "django_session" WHERE ("django_session"."session_key" = %s  AND "django_session"."expire_date" > %s ); args=('7c59feb15ae9b86edd049139e1eea22d', u'2011-05-11 12:39:04.434000')
2011-05-11 12:39:04,453 [DEBUG] django.db.backends: (1.000) SELECT "auth_user"."id", "auth_user"."username", "auth_user"."first_name", "auth_user"."last_name", "auth_user"."email", "auth_user"."password", "auth_user"."is_staff", "auth_user"."is_active", "auth_user"."is_superuser", "auth_user"."last_login", "auth_user"."date_joined" FROM "auth_user" WHERE "auth_user"."id" = %s ; args=(2,)
2011-05-11 12:39:04,457 [DEBUG] django.db.backends: (1.000) SELECT "employer_employer"."id", "employer_employer"."user_id", "employer_employer"."active", "employer_employer"."subscriber", "employer_employer"."company_name", "employer_employer"."contact_phone", "employer_employer"."default_filtering_parameters_id", "employer_employer"."resumes_viewed", "employer_employer"."email_on_rsvp", "employer_employer"."results_per_page", "employer_employer"."default_student_ordering", "employer_employer"."date_created" FROM "employer_employer" WHERE "employer_employer"."user_id" = %s ; args=(2,)
2011-05-11 12:39:04,463 [DEBUG] django.db.backends: (1.000) SELECT "core_campusorgtype"."id", "core_campusorgtype"."name", "core_campusorgtype"."sort_order", "core_campusorgtype"."last_updated", "core_campusorgtype"."date_created" FROM "core_campusorgtype" ORDER BY "core_campusorgtype"."sort_order" ASC; args=()
2011-05-11 12:39:04,473 [DEBUG] django.db.backends: (1.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(1,)
2011-05-11 12:39:04,503 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(2,)
2011-05-11 12:39:04,506 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(3,)
2011-05-11 12:39:04,509 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(4,)
2011-05-11 12:39:04,513 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(5,)
2011-05-11 12:39:04,516 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(6,)
2011-05-11 12:39:04,519 [DEBUG] django.db.backends: (0.000) SELECT "core_campusorg"."id", "core_campusorg"."email", "core_campusorg"."website", "core_campusorg"."description", "core_campusorg"."image", "core_campusorg"."display", "core_campusorg"."last_updated", "core_campusorg"."date_created", "core_campusorg"."name", "core_campusorg"."type_id" FROM "core_campusorg" WHERE "core_campusorg"."type_id" = %s ; args=(7,)
